episode,reward,length,coverage
0,-0.1,87,1.0
1,-40.9,171,1.0
2,-72.1,200,0.8181818181818182
3,-71.3,200,0.9090909090909091
4,-73.3,200,0.9090909090909091
5,-10.3,109,1.0
6,-76.3,200,0.9090909090909091
7,-74.7,200,0.8181818181818182
8,-32.9,158,1.0
9,-74.0,200,0.9545454545454546
10,-53.5,195,1.0
11,-73.7,200,0.9090909090909091
12,-43.1,175,1.0
13,-70.7,200,0.9090909090909091
14,-73.7,200,0.8181818181818182
15,-71.9,200,0.9090909090909091
16,-75.6,200,0.8636363636363636
17,-72.0,200,0.9545454545454546
18,-53.9,195,1.0
19,-76.1,200,0.7272727272727273
20,-72.7,200,0.9090909090909091
21,-39.5,161,1.0
22,-18.9,122,1.0
23,-77.1,200,0.8181818181818182
24,-70.7,200,0.9090909090909091
25,-69.8,200,0.9545454545454546
26,-72.4,200,0.8636363636363636
27,-76.5,200,0.8181818181818182
28,-49.1,189,1.0
29,-76.7,200,0.8181818181818182
30,-75.0,200,0.8636363636363636
31,-30.1,154,1.0
32,0.7,75,1.0
33,-71.4,200,0.9545454545454546
34,-25.1,137,1.0
35,-32.9,156,1.0
36,-69.0,200,0.9545454545454546
37,-76.0,200,0.7727272727272727
38,-42.1,176,1.0
39,-26.3,132,1.0
40,-77.6,200,0.7727272727272727
41,-75.0,200,0.7727272727272727
42,-71.6,200,0.9545454545454546
43,-74.0,200,0.9545454545454546
44,-76.3,200,0.8181818181818182
45,-76.8,200,0.7727272727272727
46,-24.7,136,1.0
47,-66.6,200,0.9545454545454546
48,-42.9,177,1.0
49,-76.3,200,0.7272727272727273
50,-41.9,172,1.0
51,-73.2,200,0.8636363636363636
52,-16.9,118,1.0
53,-66.6,200,0.9545454545454546
54,-21.9,128,1.0
55,-1.3,86,1.0
56,-32.1,148,1.0
57,-73.6,200,0.9545454545454546
58,-70.6,200,0.9545454545454546
59,-72.8,200,0.9545454545454546
60,-46.9,177,1.0
61,-21.3,128,1.0
62,-69.8,200,0.9545454545454546
63,-32.1,153,1.0
64,-26.5,142,1.0
65,-71.6,200,0.8636363636363636
66,7.7,67,1.0
67,-7.5,97,1.0
68,-69.3,200,0.9090909090909091
69,-9.9,103,1.0
70,-73.8,200,0.7727272727272727
71,-73.9,200,0.9090909090909091
72,-0.5,82,1.0
73,-50.1,194,1.0
74,-76.7,200,0.9090909090909091
75,-72.2,200,0.9545454545454546
76,-20.7,124,1.0
