episode,reward,length,coverage
0,136.6,96,1.0
1,122.9,141,1.0
2,118.5,157,1.0
3,133.2,107,1.0
4,115.7,162,1.0
5,128.4,123,1.0
6,128.8,117,1.0
7,-46.7,500,0.9886363636363636
8,77.7,292,1.0
9,21.3,388,1.0
10,134.5,101,1.0
11,135.0,102,1.0
12,134.3,102,1.0
13,126.5,131,1.0
14,120.7,147,1.0
15,82.5,277,1.0
16,134.0,104,1.0
17,131.2,114,1.0
18,-46.1,500,0.9886363636363636
19,128.3,119,1.0
20,42.4,387,1.0
21,130.4,112,1.0
22,-47.7,500,0.9772727272727273
23,135.6,99,1.0
24,135.5,99,1.0
25,-45.9,500,0.9886363636363636
26,109.1,186,1.0
27,16.2,497,1.0
28,128.3,123,1.0
29,125.4,132,1.0
30,120.5,150,1.0
31,122.1,141,1.0
32,48.7,389,1.0
33,-45.7,500,0.9886363636363636
34,70.9,315,1.0
35,-46.3,500,0.9886363636363636
36,-47.3,500,0.9772727272727273
37,62.9,342,1.0
38,-46.2,500,0.9886363636363636
39,-45.7,500,0.9886363636363636
40,123.5,139,1.0
41,120.4,150,1.0
42,131.5,112,1.0
43,-48.1,500,0.9659090909090909
44,104.1,204,1.0
45,122.0,144,1.0
46,123.9,138,1.0
47,86.1,257,1.0
48,127.9,126,1.0
49,-110.3,500,0.7954545454545454
50,137.0,95,1.0
51,131.9,108,1.0
52,94.0,233,1.0
53,131.6,113,1.0
54,128.7,117,1.0
55,137.2,95,1.0
56,-46.0,500,0.9886363636363636
57,-45.7,500,0.9886363636363636
58,120.5,136,1.0
59,81.6,280,1.0
60,111.6,177,1.0
61,72.3,310,1.0
62,-46.0,500,0.9886363636363636
63,118.5,156,1.0
64,-179.2,500,0.19318181818181818
65,116.8,162,1.0
66,-46.9,500,0.9886363636363636
67,116.2,165,1.0
68,128.4,120,1.0
69,-45.9,500,0.9886363636363636
70,-46.9,500,0.9886363636363636
71,102.2,210,1.0
72,120.8,149,1.0
73,89.6,249,1.0
74,125.4,134,1.0
75,103.7,206,1.0
76,127.7,127,1.0
77,132.9,108,1.0
78,122.9,142,1.0
79,97.7,225,1.0
80,103.0,208,1.0
81,-45.5,500,0.9886363636363636
82,131.8,112,1.0
83,-48.5,500,0.9659090909090909
84,125.4,132,1.0
85,61.1,348,1.0
86,128.0,125,1.0
87,-46.4,500,0.9886363636363636
88,117.9,143,1.0
89,73.6,286,1.0
90,-45.7,500,0.9886363636363636
91,124.5,138,1.0
92,106.8,196,1.0
93,95.1,235,1.0
94,52.8,375,1.0
95,-50.9,500,0.9886363636363636
96,134.5,104,1.0
97,120.7,147,1.0
98,102.3,209,1.0
99,106.9,189,1.0
100,134.2,102,1.0
101,125.8,131,1.0
102,134.5,102,1.0
103,52.8,374,1.0
104,135.8,99,1.0
105,90.9,248,1.0
106,73.5,307,1.0
107,128.2,119,1.0
108,51.3,380,1.0
109,127.6,123,1.0
110,128.3,124,1.0
111,126.1,128,1.0
112,-46.7,500,0.9886363636363636
113,124.4,137,1.0
114,126.3,122,1.0
115,124.6,135,1.0
116,116.3,159,1.0
117,114.4,169,1.0
118,97.0,224,1.0
119,123.6,128,1.0
120,-48.6,500,0.9659090909090909
121,124.7,133,1.0
122,101.3,215,1.0
123,99.2,219,1.0
124,-300.0,500,0.011363636363636364
125,118.8,155,1.0
126,134.6,101,1.0
127,110.8,182,1.0
128,104.6,204,1.0
129,-46.2,500,0.9886363636363636
130,-49.3,500,0.9886363636363636
131,126.7,128,1.0
132,127.1,128,1.0
133,95.6,233,1.0
134,-51.4,500,0.9431818181818182
135,87.5,260,1.0
136,-46.0,500,0.9886363636363636
137,136.6,96,1.0
138,124.2,138,1.0
139,86.8,261,1.0
140,130.2,117,1.0
141,117.0,161,1.0
142,105.2,195,1.0
143,125.9,128,1.0
144,116.4,164,1.0
145,121.7,145,1.0
146,111.7,180,1.0
147,131.3,112,1.0
148,120.7,138,1.0
149,96.8,198,1.0
150,105.5,201,1.0
151,129.4,119,1.0
152,131.9,111,1.0
153,-47.2,500,0.9772727272727273
154,136.7,97,1.0
155,131.3,115,1.0
156,127.5,122,1.0
157,79.9,285,1.0
158,68.2,320,1.0
159,123.4,141,1.0
160,135.2,100,1.0
161,118.1,158,1.0
162,72.9,309,1.0
163,130.5,115,1.0
164,103.8,207,1.0
165,108.1,185,1.0
166,133.0,105,1.0
167,-45.9,500,0.9886363636363636
168,-45.6,500,0.9886363636363636
169,133.9,103,1.0
170,78.3,291,1.0
171,-46.8,500,0.9886363636363636
172,134.5,103,1.0
173,114.6,169,1.0
174,117.8,159,1.0
175,-47.5,500,0.9886363636363636
176,131.6,114,1.0
177,97.6,225,1.0
178,131.0,111,1.0
179,131.8,112,1.0
180,78.9,288,1.0
181,134.9,102,1.0
182,131.5,112,1.0
183,-45.9,500,0.9886363636363636
184,130.4,112,1.0
185,-46.1,500,0.9886363636363636
186,132.9,108,1.0
187,134.2,102,1.0
188,114.6,169,1.0
189,92.1,244,1.0
190,124.1,135,1.0
191,72.9,310,1.0
192,102.8,209,1.0
193,92.3,244,1.0
194,76.3,295,1.0
195,-53.0,500,0.9204545454545454
196,131.5,109,1.0
197,-49.9,500,0.9886363636363636
198,133.2,105,1.0
199,134.6,102,1.0
200,129.1,122,1.0
201,104.8,203,1.0
202,127.4,128,1.0
203,12.1,461,1.0
204,133.3,107,1.0
205,-45.6,500,0.9886363636363636
206,132.8,107,1.0
207,136.4,97,1.0
208,116.3,149,1.0
209,80.8,282,1.0
210,131.9,111,1.0
211,112.4,178,1.0
212,127.0,124,1.0
213,-46.2,500,0.9886363636363636
214,-47.1,500,0.9772727272727273
215,116.4,164,1.0
216,131.6,109,1.0
217,113.0,174,1.0
218,-45.6,500,0.9886363636363636
219,133.7,107,1.0
220,-46.3,500,0.9886363636363636
221,-49.9,500,0.9772727272727273
222,114.5,159,1.0
223,120.2,151,1.0
224,-47.1,500,0.9886363636363636
225,124.7,137,1.0
226,132.8,108,1.0
227,130.7,116,1.0
228,124.6,137,1.0
229,118.1,159,1.0
230,116.3,164,1.0
231,61.0,349,1.0
232,-47.4,500,0.9772727272727273
233,-45.8,500,0.9886363636363636
234,118.1,156,1.0
235,-45.9,500,0.9886363636363636
236,137.5,94,1.0
237,-57.5,500,0.9545454545454546
238,-47.1,500,0.9772727272727273
239,-4.3,452,1.0
240,130.3,118,1.0
241,124.8,133,1.0
242,126.7,130,1.0
243,117.2,162,1.0
244,93.0,243,1.0
245,-45.8,500,0.9886363636363636
246,127.4,126,1.0
247,118.2,157,1.0
248,113.9,171,1.0
249,96.6,226,1.0
250,128.2,123,1.0
251,125.4,131,1.0
252,118.5,156,1.0
253,114.7,167,1.0
254,-46.3,500,0.9886363636363636
255,126.3,123,1.0
256,121.8,146,1.0
257,34.9,434,1.0
258,79.1,288,1.0
259,107.1,194,1.0
260,130.0,119,1.0
261,132.6,107,1.0
262,125.3,134,1.0
263,134.4,104,1.0
264,-46.6,500,0.9886363636363636
265,-46.0,500,0.9886363636363636
266,76.9,294,1.0
267,116.1,153,1.0
268,-46.6,500,0.9886363636363636
269,129.1,120,1.0
270,91.4,218,1.0
271,135.0,100,1.0
272,-45.6,500,0.9886363636363636
273,130.7,111,1.0
274,138.7,91,1.0
275,136.0,98,1.0
276,134.1,103,1.0
277,114.7,163,1.0
278,114.8,166,1.0
279,127.8,125,1.0
280,100.3,218,1.0
281,126.9,128,1.0
282,132.8,107,1.0
283,-46.2,500,0.9886363636363636
284,133.6,106,1.0
285,88.7,239,1.0
286,127.9,125,1.0
287,136.6,97,1.0
288,117.7,158,1.0
289,126.7,130,1.0
290,135.4,99,1.0
291,134.2,105,1.0
292,110.1,185,1.0
293,75.9,289,1.0
294,-45.8,500,0.9886363636363636
295,-46.2,500,0.9886363636363636
296,131.4,113,1.0
297,117.7,161,1.0
298,-45.9,500,0.9886363636363636
299,124.3,138,1.0
300,77.3,293,1.0
301,131.2,114,1.0
302,136.1,97,1.0
303,-47.0,500,0.9886363636363636
304,123.1,143,1.0
305,127.7,119,1.0
306,126.9,129,1.0
307,132.2,112,1.0
308,108.8,180,1.0
309,-45.5,500,0.9886363636363636
310,-48.4,500,0.9659090909090909
311,115.4,168,1.0
312,-47.2,500,0.9886363636363636
313,116.7,158,1.0
314,134.6,104,1.0
315,130.0,119,1.0
316,131.8,112,1.0
317,-46.8,500,0.9772727272727273
318,-51.5,500,0.9431818181818182
319,133.5,104,1.0
320,113.8,172,1.0
321,53.8,304,1.0
322,112.5,177,1.0
323,135.5,100,1.0
324,-45.5,500,0.9886363636363636
325,-51.0,500,0.9431818181818182
326,-46.9,500,0.9772727272727273
327,-47.3,500,0.9886363636363636
328,45.1,365,1.0
329,52.0,311,1.0
330,129.8,119,1.0
331,-50.9,500,0.9886363636363636
332,127.3,127,1.0
333,109.4,187,1.0
334,136.4,96,1.0
335,-47.4,500,0.9772727272727273
336,123.6,139,1.0
337,110.5,173,1.0
338,85.8,264,1.0
339,130.9,116,1.0
340,-48.6,500,0.9772727272727273
341,125.2,134,1.0
342,71.0,316,1.0
343,124.6,135,1.0
