episode,reward,length,coverage
0,-8.5,103,1.0
1,-21.1,128,1.0
2,-38.7,165,1.0
3,-68.6,200,0.9545454545454546
4,-71.7,200,0.9090909090909091
5,-28.7,140,1.0
6,-71.8,200,0.7727272727272727
7,-70.1,200,0.9090909090909091
8,-31.7,153,1.0
9,-77.8,200,0.7727272727272727
10,-80.6,200,0.7727272727272727
11,-58.5,200,1.0
12,-33.5,153,1.0
13,7.3,64,1.0
14,-68.8,200,0.9545454545454546
15,-72.6,200,0.8636363636363636
16,-72.1,200,0.9090909090909091
17,-73.8,200,0.8636363636363636
18,-68.4,200,0.9545454545454546
19,-78.7,200,0.8181818181818182
20,-71.3,200,0.9090909090909091
21,-34.9,159,1.0
22,-71.8,200,0.9545454545454546
23,-70.4,200,0.9545454545454546
24,-36.3,165,1.0
25,-16.9,118,1.0
26,-71.6,200,0.8636363636363636
27,-40.9,174,1.0
28,-76.6,200,0.8636363636363636
29,-33.7,154,1.0
30,-71.2,200,0.9545454545454546
31,-80.3,200,0.7272727272727273
32,-24.9,138,1.0
33,-69.2,200,0.9545454545454546
34,-75.3,200,0.9090909090909091
35,-71.8,200,0.9545454545454546
36,-75.4,200,0.8636363636363636
37,-77.2,200,0.8636363636363636
38,-76.1,200,0.9090909090909091
39,-71.8,200,0.9545454545454546
40,-74.3,200,0.8181818181818182
41,-73.8,200,0.8636363636363636
42,-26.5,138,1.0
43,-68.8,200,0.9545454545454546
44,-49.5,196,1.0
45,-34.7,156,1.0
46,-26.9,139,1.0
47,-69.4,200,0.9545454545454546
48,-71.0,200,0.9545454545454546
49,-75.1,200,0.9090909090909091
50,-20.7,126,1.0
51,-25.7,140,1.0
52,-74.0,200,0.9545454545454546
53,-35.3,150,1.0
54,-74.6,200,0.8636363636363636
55,-21.3,126,1.0
56,-70.0,200,0.9545454545454546
57,-52.3,200,1.0
58,-71.4,200,0.8636363636363636
59,-26.7,146,1.0
60,-75.8,200,0.7727272727272727
61,-36.7,154,1.0
62,-27.9,140,1.0
63,-18.3,120,1.0
64,-72.9,200,0.9090909090909091
65,5.3,73,1.0
66,-46.3,185,1.0
67,-4.1,94,1.0
68,-49.7,193,1.0
69,-20.1,123,1.0
70,-76.4,200,0.9545454545454546
71,-71.8,200,0.9545454545454546
72,1.1,79,1.0
73,-10.5,104,1.0
74,-32.5,159,1.0
75,-22.9,128,1.0
76,-71.0,200,0.9545454545454546
77,-22.3,136,1.0
78,-28.7,144,1.0
79,-2.1,89,1.0
80,-73.0,200,0.9545454545454546
