episode,reward,length,coverage
0,-30.9,150,1.0
1,-74.7,200,0.9090909090909091
2,-76.0,200,0.8636363636363636
3,-72.6,200,0.9545454545454546
4,-68.6,200,0.9545454545454546
5,-75.3,200,0.9090909090909091
6,-21.7,122,1.0
7,-71.0,200,0.9545454545454546
8,-69.6,200,0.9545454545454546
9,-73.4,200,0.9545454545454546
10,-70.8,200,0.8636363636363636
11,-53.5,196,1.0
12,-69.6,200,0.9545454545454546
13,-72.6,200,0.9545454545454546
14,-74.5,200,0.8181818181818182
15,-69.6,200,0.9545454545454546
16,-85.8,200,0.6818181818181818
17,-74.0,200,0.9545454545454546
18,-8.1,101,1.0
19,-80.8,200,0.7727272727272727
20,-72.1,200,0.9090909090909091
21,-75.3,200,0.9090909090909091
22,-49.7,193,1.0
23,-40.1,171,1.0
24,-42.1,177,1.0
25,-75.1,200,0.8181818181818182
26,-75.9,200,0.8181818181818182
27,-77.5,200,0.9090909090909091
28,-72.4,200,0.9545454545454546
29,-72.3,200,0.9090909090909091
30,-75.5,200,0.9090909090909091
31,-82.7,200,0.6363636363636364
32,-8.5,99,1.0
33,-75.2,200,0.8636363636363636
34,5.5,71,1.0
35,-75.6,200,0.8636363636363636
36,-73.6,200,0.9545454545454546
37,-83.3,200,0.7272727272727273
38,-82.7,200,0.7272727272727273
39,-41.7,169,1.0
40,-11.1,102,1.0
41,-10.5,101,1.0
42,-74.2,200,0.8636363636363636
43,-56.3,193,1.0
44,4.9,70,1.0
45,-41.5,169,1.0
46,-9.1,102,1.0
47,4.7,68,1.0
48,-47.1,183,1.0
49,-48.3,194,1.0
50,-75.1,200,0.9090909090909091
51,-73.0,200,0.9545454545454546
52,-73.8,200,0.8636363636363636
53,-75.4,200,0.9545454545454546
54,-74.1,200,0.9090909090909091
55,-2.5,90,1.0
56,-77.5,200,0.8181818181818182
57,-75.1,200,0.9090909090909091
58,-40.5,165,1.0
59,-77.8,200,0.8636363636363636
60,-74.7,200,0.9090909090909091
61,2.3,77,1.0
62,-71.0,200,0.9545454545454546
63,-74.6,200,0.9545454545454546
64,-56.3,195,1.0
65,-75.1,200,0.9090909090909091
66,-24.9,130,1.0
67,-84.7,200,0.8181818181818182
68,-49.5,179,1.0
69,-81.6,200,0.8636363636363636
70,-79.1,200,0.9090909090909091
71,-84.2,200,0.9545454545454546
72,-80.7,200,0.9090909090909091
73,-82.0,200,0.6818181818181818
74,-83.9,200,0.7272727272727273
75,-26.5,129,1.0
76,-80.1,200,0.9090909090909091
77,-76.7,200,0.9090909090909091
78,-74.5,200,0.9090909090909091
79,-3.1,87,1.0
80,-80.9,200,0.8181818181818182
81,-71.2,200,0.8636363636363636
82,-74.2,200,0.9545454545454546
83,-74.6,200,0.9545454545454546
84,-79.1,200,0.9090909090909091
85,-23.5,137,1.0
86,-21.9,122,1.0
87,-78.7,200,0.8181818181818182
88,-36.7,156,1.0
89,-18.9,118,1.0
90,-35.7,160,1.0
91,-37.1,158,1.0
92,-52.7,188,1.0
93,-84.1,200,0.7272727272727273
94,-77.6,200,0.8636363636363636
95,-74.6,200,0.9545454545454546
96,-77.0,200,0.9545454545454546
97,-79.7,200,0.9090909090909091
98,-4.1,89,1.0
99,-81.4,200,0.6818181818181818
100,-75.5,200,0.9090909090909091
101,-80.1,200,0.8181818181818182
102,-79.4,200,0.8636363636363636
103,-9.7,95,1.0
104,-31.1,147,1.0
105,-16.1,114,1.0
106,-85.9,200,0.8181818181818182
107,-73.8,200,0.9545454545454546
108,-29.1,133,1.0
109,-4.9,84,1.0
110,-78.1,200,0.7272727272727273
111,-21.3,125,1.0
112,-37.9,164,1.0
113,-22.9,133,1.0
114,-125.0,200,0.045454545454545456
115,-21.1,124,1.0
116,-19.3,113,1.0
117,-17.3,108,1.0
118,-73.2,200,0.9545454545454546
119,-37.1,161,1.0
120,-47.3,164,1.0
121,-1.7,82,1.0
122,-4.7,90,1.0
