episode,reward,length,coverage
0,-73.7,200,0.9090909090909091
1,-72.7,200,0.8181818181818182
2,-70.8,200,0.9545454545454546
3,-75.3,200,0.8181818181818182
4,-74.1,200,0.9090909090909091
5,-75.2,200,0.7727272727272727
6,-75.5,200,0.8181818181818182
7,-75.9,200,0.9090909090909091
8,-29.9,145,1.0
9,-41.1,171,1.0
10,-71.5,200,0.9090909090909091
11,-73.7,200,0.9090909090909091
12,-70.6,200,0.9545454545454546
13,-46.9,193,1.0
14,-46.1,178,1.0
15,-73.1,200,0.9090909090909091
16,-75.5,200,0.8181818181818182
17,-47.7,186,1.0
18,-79.3,200,0.9090909090909091
19,-82.6,200,0.5909090909090909
20,-36.1,163,1.0
21,-71.0,200,0.8636363636363636
22,-72.1,200,0.9090909090909091
23,-66.6,200,0.9545454545454546
24,-76.6,200,0.7727272727272727
25,-74.0,200,0.9545454545454546
26,-46.7,181,1.0
27,-69.8,200,0.9545454545454546
28,-33.9,150,1.0
29,-21.3,132,1.0
30,-9.1,101,1.0
31,-77.3,200,0.9090909090909091
32,-71.2,200,0.9545454545454546
33,-24.5,135,1.0
34,-70.9,200,0.9090909090909091
35,-72.8,200,0.9545454545454546
36,-23.1,133,1.0
37,-21.7,125,1.0
38,-40.9,174,1.0
39,-69.4,200,0.9545454545454546
40,-73.0,200,0.8636363636363636
41,-71.2,200,0.9545454545454546
42,-67.2,200,0.9545454545454546
43,-69.0,200,0.9545454545454546
44,-71.4,200,0.9545454545454546
45,-74.1,200,0.9090909090909091
46,-67.6,200,0.9545454545454546
47,-74.0,200,0.9545454545454546
48,-39.5,162,1.0
49,-12.3,112,1.0
50,-67.4,200,0.9545454545454546
51,-75.5,200,0.9090909090909091
52,-71.2,200,0.8636363636363636
53,-31.3,143,1.0
54,-70.0,200,0.9545454545454546
55,-20.9,131,1.0
56,-75.0,200,0.7727272727272727
57,-74.2,200,0.9545454545454546
58,-69.8,200,0.9545454545454546
59,-26.5,138,1.0
60,-69.0,200,0.9545454545454546
61,-71.8,200,0.9545454545454546
62,-74.2,200,0.8636363636363636
63,-72.3,200,0.9090909090909091
64,-71.7,200,0.9090909090909091
65,-69.8,200,0.9545454545454546
66,-72.8,200,0.9545454545454546
67,-70.9,200,0.9090909090909091
68,-70.8,200,0.8636363636363636
69,-76.7,200,0.8181818181818182
70,-70.3,200,0.9090909090909091
71,-44.5,166,1.0
72,-72.4,200,0.9545454545454546
73,-75.1,200,0.9090909090909091
