episode,reward,length,coverage
0,-133.7,500,0.8409090909090909
1,-131.1,500,0.8181818181818182
2,-133.8,500,0.8522727272727273
3,-135.2,500,0.8522727272727273
4,-148.5,500,0.6818181818181818
5,-133.8,500,0.8295454545454546
6,-131.8,500,0.8295454545454546
7,-154.7,500,0.6363636363636364
8,-143.2,500,0.7159090909090909
9,-147.8,500,0.7159090909090909
10,-140.1,500,0.7272727272727273
11,-117.3,500,0.9090909090909091
12,-123.7,500,0.8863636363636364
13,-152.1,500,0.7045454545454546
14,-145.8,500,0.7840909090909091
15,-132.8,500,0.8295454545454546
16,-138.7,500,0.7727272727272727
17,-186.0,500,0.375
18,-136.0,500,0.8522727272727273
19,-130.0,500,0.8522727272727273
20,-148.8,500,0.8068181818181818
21,-148.6,500,0.7159090909090909
22,-133.0,500,0.7840909090909091
23,-131.9,500,0.8863636363636364
24,-93.3,484,1.0
25,-129.3,500,0.8409090909090909
26,-130.5,500,0.8636363636363636
27,-162.6,500,0.625
28,-143.5,500,0.7272727272727273
29,-125.8,500,0.875
30,-120.4,500,0.8977272727272727
31,-119.6,500,0.9204545454545454
32,-116.3,500,0.9772727272727273
33,-128.9,500,0.9090909090909091
34,-118.2,500,0.9204545454545454
35,-122.2,500,0.9431818181818182
36,-144.5,500,0.7954545454545454
37,-120.3,500,0.9772727272727273
38,-128.4,500,0.875
39,-117.5,500,0.9318181818181818
40,-123.1,500,0.9090909090909091
41,-116.8,500,0.9659090909090909
42,-125.6,500,0.9431818181818182
43,-123.4,500,0.9204545454545454
44,-129.0,500,0.8522727272727273
45,-123.7,500,0.9545454545454546
46,-135.1,500,0.7954545454545454
47,-126.9,500,0.8636363636363636
48,-123.9,500,0.8863636363636364
49,-146.7,500,0.7272727272727273
50,-121.5,500,0.9545454545454546
51,-136.5,500,0.9090909090909091
52,-87.7,482,1.0
53,-137.0,500,0.8068181818181818
54,-147.6,500,0.7386363636363636
55,-129.2,500,0.875
56,-138.5,500,0.8409090909090909
57,-123.0,500,0.9204545454545454
58,-128.8,500,0.875
59,-136.3,500,0.8863636363636364
60,-120.1,500,0.9772727272727273
61,-121.7,500,0.9318181818181818
62,-126.8,500,0.8295454545454546
63,-142.6,500,0.8068181818181818
64,-122.4,500,0.9204545454545454
65,-129.6,500,0.875
66,-136.6,500,0.8522727272727273
67,-121.9,500,0.9318181818181818
68,-123.3,500,0.9318181818181818
69,-138.7,500,0.7727272727272727
70,-123.9,500,0.9318181818181818
71,-125.9,500,0.8636363636363636
72,-131.8,500,0.8068181818181818
73,-127.2,500,0.9431818181818182
74,-128.3,500,0.8863636363636364
75,-114.6,500,0.9886363636363636
76,-124.4,500,0.9659090909090909
77,-118.2,500,0.9431818181818182
78,-125.9,500,0.9318181818181818
79,-122.6,500,0.9431818181818182
80,-117.9,500,0.9545454545454546
81,-114.0,500,0.9886363636363636
82,-128.4,500,0.8977272727272727
83,-132.3,500,0.8636363636363636
84,-118.9,500,0.9772727272727273
85,-118.3,500,0.9318181818181818
86,-128.5,500,0.8636363636363636
87,-109.3,500,0.9772727272727273
88,-135.7,500,0.9090909090909091
89,-121.4,500,0.9659090909090909
90,-115.0,500,0.9659090909090909
91,-122.4,500,0.9431818181818182
92,-113.3,500,0.9772727272727273
93,-115.2,500,0.9886363636363636
94,-127.9,500,0.9090909090909091
95,-119.2,500,0.9659090909090909
96,-45.1,382,1.0
97,-120.8,500,0.9659090909090909
98,-117.4,500,0.9659090909090909
99,-122.8,500,0.9431818181818182
100,-130.6,500,0.875
101,-131.5,500,0.8863636363636364
102,-124.6,500,0.9204545454545454
103,-127.6,500,0.8522727272727273
104,-138.7,500,0.8409090909090909
105,-159.6,500,0.8295454545454546
106,-115.6,500,0.9886363636363636
107,-118.6,500,0.9659090909090909
108,-114.6,500,0.9431818181818182
109,-125.1,500,0.8409090909090909
110,-123.5,500,0.9545454545454546
111,-121.8,500,0.8977272727272727
112,-133.0,500,0.875
113,-125.9,500,0.9318181818181818
114,-193.6,500,0.625
115,-115.6,500,0.9204545454545454
116,-41.3,382,1.0
117,-305.0,500,0.011363636363636364
118,-57.9,422,1.0
119,-123.5,500,0.9090909090909091
120,-127.2,500,0.8977272727272727
121,-157.6,500,0.7840909090909091
122,-116.2,500,0.9886363636363636
123,-123.9,500,0.9772727272727273
124,-120.3,500,0.9090909090909091
125,-132.8,500,0.8977272727272727
126,-116.2,500,0.9204545454545454
127,-123.3,500,0.9545454545454546
128,-119.5,500,0.9545454545454546
129,-121.1,500,0.9772727272727273
130,-124.0,500,0.9204545454545454
131,-113.6,500,0.9431818181818182
132,-112.6,500,0.9886363636363636
133,-116.5,500,0.8863636363636364
134,-115.5,500,0.9318181818181818
135,-123.3,500,0.8863636363636364
136,-126.1,500,0.9318181818181818
137,-145.4,500,0.7840909090909091
138,-124.8,500,0.9659090909090909
139,-124.3,500,0.9545454545454546
140,-120.1,500,0.9090909090909091
141,-109.1,500,0.9772727272727273
142,-115.7,500,0.9090909090909091
143,-133.3,500,0.8636363636363636
144,-121.5,500,0.9545454545454546
145,-117.5,500,0.9090909090909091
146,-121.8,500,0.8977272727272727
147,-115.2,500,0.9886363636363636
148,-122.0,500,0.9431818181818182
149,-127.1,500,0.9090909090909091
150,-129.2,500,0.8522727272727273
151,-159.0,500,0.8068181818181818
152,-132.0,500,0.8522727272727273
153,-120.2,500,0.8977272727272727
154,-131.4,500,0.8522727272727273
155,-125.2,500,0.9886363636363636
156,-114.4,500,0.9431818181818182
157,-122.2,500,0.8977272727272727
158,-140.6,500,0.8068181818181818
159,-119.2,500,0.9431818181818182
160,-59.5,406,1.0
161,-116.0,500,0.9431818181818182
162,-126.2,500,0.8522727272727273
163,-118.0,500,0.9431818181818182
164,-124.7,500,0.9318181818181818
165,-131.5,500,0.8409090909090909
166,-139.0,500,0.7159090909090909
167,-114.8,500,0.9659090909090909
168,-45.5,375,1.0
169,-119.8,500,0.9659090909090909
170,-122.1,500,0.9318181818181818
171,-119.7,500,0.9318181818181818
172,-141.3,500,0.8181818181818182
173,-121.3,500,0.9772727272727273
174,-112.5,500,0.9545454545454546
175,-115.3,500,0.9545454545454546
176,-131.2,500,0.875
177,-118.6,500,0.9204545454545454
178,-113.2,500,0.9886363636363636
179,-141.5,500,0.7954545454545454
180,-151.0,500,0.7840909090909091
181,-127.7,500,0.8636363636363636
182,-118.4,500,0.9204545454545454
183,-110.0,500,0.9886363636363636
184,-123.7,500,0.9090909090909091
185,-129.9,500,0.8409090909090909
186,-114.9,500,0.9545454545454546
187,-131.4,500,0.7613636363636364
188,-128.8,500,0.8977272727272727
189,-110.6,500,0.9659090909090909
190,-123.9,500,0.9545454545454546
191,-126.6,500,0.8068181818181818
192,-114.5,500,0.9318181818181818
193,-129.1,500,0.9090909090909091
194,-119.7,500,0.9318181818181818
195,-114.1,500,0.9772727272727273
196,-125.9,500,0.9318181818181818
197,-112.6,500,0.9431818181818182
198,-112.1,500,0.9318181818181818
199,-115.5,500,0.9545454545454546
200,-117.2,500,0.8977272727272727
201,-118.6,500,0.9204545454545454
202,-131.8,500,0.9204545454545454
203,-119.3,500,0.9772727272727273
204,-118.0,500,0.9431818181818182
205,-111.1,500,0.9772727272727273
206,-112.8,500,0.9431818181818182
207,-121.7,500,0.9318181818181818
208,-122.1,500,0.9318181818181818
209,-87.9,488,1.0
210,-122.2,500,0.875
211,-111.8,500,0.9431818181818182
212,-116.1,500,0.9772727272727273
213,-119.5,500,0.9545454545454546
214,-140.3,500,0.75
215,-124.7,500,0.8636363636363636
216,-114.9,500,0.9545454545454546
217,-132.3,500,0.9318181818181818
218,-47.3,402,1.0
219,-127.3,500,0.8863636363636364
220,-116.7,500,0.9545454545454546
221,-111.5,500,0.9772727272727273
222,-115.6,500,0.9659090909090909
223,-126.0,500,0.9204545454545454
224,-124.2,500,0.8977272727272727
225,-122.7,500,0.9318181818181818
226,-115.5,500,0.9318181818181818
227,-121.7,500,0.9090909090909091
228,-125.8,500,0.8522727272727273
229,-116.9,500,0.9545454545454546
230,-126.3,500,0.9090909090909091
231,-109.3,500,0.9545454545454546
232,-127.1,500,0.8636363636363636
233,-124.7,500,0.9545454545454546
234,-113.8,500,0.9431818181818182
235,-118.5,500,0.9318181818181818
236,-115.3,500,0.9318181818181818
237,-132.2,500,0.875
238,-109.9,500,0.9545454545454546
239,-110.7,500,0.9318181818181818
240,-117.9,500,0.9545454545454546
241,-115.1,500,0.8863636363636364
242,-115.7,500,0.9318181818181818
243,-114.3,500,0.9545454545454546
244,-124.9,500,0.8863636363636364
245,-123.2,500,0.875
246,-119.5,500,0.9772727272727273
247,-110.4,500,0.9886363636363636
248,-113.7,500,0.9545454545454546
249,-109.5,500,0.9772727272727273
250,-121.9,500,0.8863636363636364
251,-114.5,500,0.9772727272727273
252,-122.7,500,0.8863636363636364
