episode,reward,length,coverage
0,-28.3,328,1.0
1,-29.9,363,1.0
2,-102.6,500,0.9886363636363636
3,-100.4,500,0.9886363636363636
4,23.5,235,1.0
5,-102.4,500,0.9886363636363636
6,-123.1,500,0.8636363636363636
7,-91.5,498,1.0
8,47.3,181,1.0
9,1.3,277,1.0
10,-55.1,421,1.0
11,-33.5,369,1.0
12,2.1,289,1.0
13,-106.6,500,0.9886363636363636
14,28.3,225,1.0
15,-106.8,500,0.9659090909090909
16,33.1,214,1.0
17,6.9,276,1.0
18,-6.1,313,1.0
19,3.5,278,1.0
20,-121.4,500,0.9886363636363636
21,-108.7,500,0.9772727272727273
22,-99.8,500,0.9886363636363636
23,-106.1,500,0.9772727272727273
24,-42.7,393,1.0
25,29.5,221,1.0
26,-51.7,400,1.0
27,-34.1,375,1.0
28,-12.1,314,1.0
29,-157.9,500,0.8863636363636364
30,20.5,242,1.0
31,-29.3,360,1.0
32,-103.0,500,0.9886363636363636
33,-66.3,455,1.0
34,1.5,267,1.0
35,-101.8,500,0.9886363636363636
36,-106.0,500,0.9886363636363636
37,54.3,164,1.0
38,-110.4,500,0.9886363636363636
39,-122.1,500,0.9545454545454546
40,9.5,256,1.0
41,-110.6,500,0.9659090909090909
42,41.3,189,1.0
43,26.7,224,1.0
44,23.5,229,1.0
45,-20.1,319,1.0
46,-45.9,398,1.0
47,-19.5,318,1.0
48,-38.3,383,1.0
49,-12.9,315,1.0
50,31.9,203,1.0
51,31.7,218,1.0
52,-116.5,500,0.9545454545454546
53,45.7,182,1.0
54,-55.3,414,1.0
55,-9.3,303,1.0
56,-77.9,481,1.0
57,-29.3,359,1.0
58,6.1,251,1.0
59,16.7,243,1.0
60,-50.5,409,1.0
61,-5.7,284,1.0
62,-114.8,500,0.9886363636363636
63,-144.7,500,0.9545454545454546
64,36.9,201,1.0
65,49.7,172,1.0
66,39.1,204,1.0
67,-107.6,500,0.9886363636363636
68,-118.9,500,0.9772727272727273
69,-9.5,294,1.0
70,-34.7,345,1.0
71,-72.1,468,1.0
72,3.7,266,1.0
73,8.7,264,1.0
74,44.3,188,1.0
75,-55.1,401,1.0
76,-110.2,500,0.9886363636363636
77,22.5,233,1.0
78,-43.3,385,1.0
79,-102.7,500,0.9772727272727273
80,59.7,149,1.0
81,32.1,207,1.0
82,-89.7,483,1.0
83,-64.5,421,1.0
84,-6.5,304,1.0
85,-126.4,500,0.9886363636363636
86,-102.8,500,0.9886363636363636
87,-99.0,500,0.9886363636363636
88,-114.6,500,0.9659090909090909
89,-68.3,442,1.0
90,21.1,241,1.0
91,-36.9,368,1.0
92,-104.4,500,0.9886363636363636
93,17.1,254,1.0
94,-70.9,436,1.0
95,-107.8,500,0.9886363636363636
96,-108.5,500,0.9545454545454546
97,45.5,180,1.0
98,-112.3,500,0.9772727272727273
99,7.9,277,1.0
100,46.3,173,1.0
101,-11.3,315,1.0
102,46.9,181,1.0
103,37.5,201,1.0
104,46.3,181,1.0
105,-103.5,500,0.9545454545454546
106,6.9,266,1.0
107,44.1,183,1.0
108,-108.9,500,0.9772727272727273
109,-119.4,500,0.9659090909090909
110,12.7,266,1.0
111,13.9,261,1.0
112,-112.0,500,0.9886363636363636
113,-125.8,500,0.9886363636363636
114,12.5,258,1.0
115,-116.8,500,0.9886363636363636
