episode,reward,length,coverage
0,-15.1,117,1.0
1,-19.9,123,1.0
2,-23.5,136,1.0
3,-74.0,200,0.7727272727272727
4,-51.1,193,1.0
5,-71.5,200,0.9090909090909091
6,-55.9,196,1.0
7,-70.8,200,0.9545454545454546
8,1.7,78,1.0
9,-14.7,114,1.0
10,-69.4,200,0.9545454545454546
11,-28.1,144,1.0
12,-47.3,183,1.0
13,-76.8,200,0.9545454545454546
14,-11.7,105,1.0
15,-70.7,200,0.8181818181818182
16,-44.9,180,1.0
17,-67.2,200,0.9545454545454546
18,-69.6,200,0.9545454545454546
19,-73.6,200,0.9545454545454546
20,-68.7,200,0.9090909090909091
21,-76.9,200,0.7272727272727273
22,-31.5,146,1.0
23,-68.0,200,0.9545454545454546
24,-72.2,200,0.9545454545454546
25,-75.2,200,0.8636363636363636
26,-6.5,90,1.0
27,-75.0,200,0.9545454545454546
28,-39.1,160,1.0
29,-71.8,200,0.9545454545454546
30,-86.6,200,0.4090909090909091
31,-42.5,173,1.0
32,-81.1,200,0.8181818181818182
33,-47.7,185,1.0
34,-73.1,200,0.9090909090909091
35,-72.2,200,0.8636363636363636
36,-5.7,96,1.0
37,-72.8,200,0.9545454545454546
38,-68.6,200,0.9545454545454546
39,-67.0,200,0.9545454545454546
40,-74.0,200,0.9545454545454546
41,-71.1,200,0.9090909090909091
42,-71.4,200,0.9545454545454546
43,-67.4,200,0.9545454545454546
44,-45.9,180,1.0
45,-18.1,118,1.0
46,-75.4,200,0.8636363636363636
47,-11.1,106,1.0
48,-72.8,200,0.9545454545454546
49,-33.9,153,1.0
50,-24.7,139,1.0
51,-39.3,170,1.0
52,-39.7,163,1.0
53,-39.3,166,1.0
54,-71.2,200,0.9545454545454546
55,-8.5,102,1.0
56,-68.8,200,0.9545454545454546
57,-67.8,200,0.9545454545454546
58,3.9,73,1.0
59,-72.9,200,0.9090909090909091
60,-55.1,196,1.0
61,-71.8,200,0.9545454545454546
62,-69.2,200,0.9545454545454546
63,-76.6,200,0.9545454545454546
64,-34.3,155,1.0
65,-37.9,167,1.0
66,8.7,65,1.0
67,-69.0,200,0.9545454545454546
68,-72.2,200,0.9545454545454546
69,-69.7,200,0.9090909090909091
70,-22.3,132,1.0
71,-16.1,120,1.0
72,4.5,72,1.0
73,-72.8,200,0.9545454545454546
74,-79.6,200,0.8636363636363636
75,-10.7,108,1.0
76,-26.5,135,1.0
77,-20.3,128,1.0
78,-40.7,172,1.0
79,-68.6,200,0.9545454545454546
80,-74.8,200,0.7727272727272727
81,-68.0,200,0.9545454545454546
82,-40.7,176,1.0
83,-70.6,200,0.9545454545454546
84,-36.3,159,1.0
85,-73.2,200,0.8636363636363636
86,-34.3,162,1.0
87,-9.1,100,1.0
88,-20.5,128,1.0
89,-79.5,200,0.7272727272727273
90,-74.1,200,0.9090909090909091
91,-48.1,183,1.0
92,-0.9,86,1.0
93,-71.7,200,0.9090909090909091
94,-17.9,123,1.0
95,-22.3,132,1.0
96,-33.1,155,1.0
97,-9.3,104,1.0
98,-72.4,200,0.9545454545454546
99,-71.6,200,0.9545454545454546
100,-31.5,152,1.0
101,-72.2,200,0.9545454545454546
102,-24.9,139,1.0
103,-26.1,140,1.0
104,-14.9,117,1.0
105,0.7,85,1.0
106,-9.7,104,1.0
107,12.1,56,1.0
108,-53.3,197,1.0
109,-9.9,102,1.0
110,-21.5,130,1.0
111,-25.7,137,1.0
112,-31.3,154,1.0
113,-37.7,154,1.0
114,-77.3,200,0.9090909090909091
115,7.9,67,1.0
116,-43.3,174,1.0
