episode,reward,length,coverage
0,-22.5,134,1.0
1,-69.3,200,0.9090909090909091
2,-69.4,200,0.9545454545454546
3,-76.8,200,0.6818181818181818
4,-78.9,200,0.7272727272727273
5,-69.1,200,0.9090909090909091
6,-71.0,200,0.9545454545454546
7,-80.2,200,0.6818181818181818
8,-12.9,107,1.0
9,-70.8,200,0.9545454545454546
10,-73.0,200,0.9545454545454546
11,-70.6,200,0.9545454545454546
12,-25.3,133,1.0
13,-71.4,200,0.9545454545454546
14,-35.9,164,1.0
15,-70.8,200,0.9545454545454546
16,-70.0,200,0.9545454545454546
17,-14.7,117,1.0
18,-18.1,123,1.0
19,-79.3,200,0.8181818181818182
20,-69.2,200,0.9545454545454546
21,-72.6,200,0.9545454545454546
22,-67.6,200,0.9545454545454546
23,-84.2,200,0.5909090909090909
24,-44.3,172,1.0
25,-26.7,143,1.0
26,-69.4,200,0.9545454545454546
27,-74.2,200,0.9545454545454546
28,-72.0,200,0.9545454545454546
29,-70.4,200,0.9545454545454546
30,-75.2,200,0.8636363636363636
31,-33.1,150,1.0
32,-49.9,187,1.0
33,-21.7,131,1.0
34,-75.7,200,0.8181818181818182
35,-74.5,200,0.8181818181818182
36,-6.7,97,1.0
37,-74.9,200,0.9090909090909091
38,-72.0,200,0.9545454545454546
39,-48.5,182,1.0
40,-75.7,200,0.9090909090909091
41,-74.9,200,0.8181818181818182
42,-77.5,200,0.8181818181818182
43,-71.3,200,0.9090909090909091
44,-70.8,200,0.9545454545454546
45,-70.4,200,0.9545454545454546
46,-75.9,200,0.8181818181818182
47,-68.4,200,0.9545454545454546
48,-71.2,200,0.9545454545454546
49,-16.7,119,1.0
50,-72.8,200,0.8636363636363636
51,-73.1,200,0.9090909090909091
52,-79.7,200,0.7272727272727273
53,-24.1,134,1.0
54,-19.9,124,1.0
55,-73.8,200,0.7727272727272727
56,-11.7,105,1.0
57,-68.6,200,0.9545454545454546
58,-69.1,200,0.9090909090909091
59,-71.4,200,0.9545454545454546
60,-74.1,200,0.9090909090909091
61,-47.1,174,1.0
62,-31.9,155,1.0
63,-70.4,200,0.9545454545454546
64,-78.0,200,0.6818181818181818
65,-69.2,200,0.9545454545454546
66,5.9,69,1.0
67,-17.5,118,1.0
68,-11.1,100,1.0
69,-50.9,192,1.0
70,-78.5,200,0.8181818181818182
71,-74.7,200,0.8181818181818182
72,10.7,62,1.0
73,-71.5,200,0.9090909090909091
74,-42.5,173,1.0
75,-20.3,126,1.0
76,-75.0,200,0.8636363636363636
77,-8.3,99,1.0
78,-75.4,200,0.9545454545454546
79,-72.9,200,0.9090909090909091
80,-77.2,200,0.8636363636363636
81,-26.5,135,1.0
82,-74.2,200,0.9545454545454546
83,-41.9,170,1.0
84,-35.9,159,1.0
85,-79.7,200,0.7272727272727273
86,-71.5,200,0.9090909090909091
87,-49.9,185,1.0
88,-74.8,200,0.8636363636363636
89,-75.8,200,0.9545454545454546
90,-34.5,160,1.0
91,-75.5,200,0.8181818181818182
92,-19.3,120,1.0
93,-51.3,190,1.0
94,-73.5,200,0.9090909090909091
95,-53.1,190,1.0
96,-73.8,200,0.9545454545454546
97,-76.4,200,0.8636363636363636
98,-44.1,182,1.0
99,-71.7,200,0.9090909090909091
100,-24.3,133,1.0
101,-36.7,166,1.0
102,-47.1,183,1.0
103,-72.7,200,0.9090909090909091
104,-7.7,101,1.0
105,-15.1,118,1.0
106,-20.7,128,1.0
107,-54.3,196,1.0
108,-41.7,167,1.0
109,-34.9,153,1.0
110,-11.7,109,1.0
111,-46.1,176,1.0
112,-1.7,86,1.0
113,-79.7,200,0.8181818181818182
114,-69.0,200,0.9545454545454546
115,-79.1,200,0.8181818181818182
116,-18.5,124,1.0
117,-76.8,200,0.9545454545454546
118,-70.0,200,0.9545454545454546
119,-26.9,147,1.0
120,-73.7,200,0.9090909090909091
121,0.7,79,1.0
122,-11.1,104,1.0
123,-4.1,89,1.0
124,-72.2,200,0.9545454545454546
125,-73.7,200,0.9090909090909091
126,-6.5,102,1.0
127,-76.4,200,0.9545454545454546
128,-71.0,200,0.9545454545454546
129,-73.4,200,0.8636363636363636
130,-23.5,125,1.0
131,-76.4,200,0.8636363636363636
132,0.7,79,1.0
133,3.9,71,1.0
134,-76.3,200,0.9090909090909091
135,-70.9,200,0.9090909090909091
136,-17.5,116,1.0
137,-74.2,200,0.9545454545454546
138,-74.8,200,0.8636363636363636
139,-74.8,200,0.8636363636363636
140,-74.5,200,0.9090909090909091
141,-80.4,200,0.6818181818181818
142,-67.6,200,0.9545454545454546
143,-74.6,200,0.9545454545454546
144,-12.5,111,1.0
145,-71.8,200,0.9545454545454546
146,-3.7,93,1.0
147,-74.4,200,0.9545454545454546
148,-72.4,200,0.9545454545454546
149,-77.3,200,0.9090909090909091
150,-68.8,200,0.9545454545454546
151,-30.7,142,1.0
152,3.7,74,1.0
153,-71.2,200,0.9545454545454546
154,-19.1,125,1.0
155,-74.6,200,0.9545454545454546
156,-33.9,152,1.0
157,-72.0,200,0.9545454545454546
158,-29.9,143,1.0
159,4.3,74,1.0
160,3.9,74,1.0
161,-10.1,99,1.0
162,-16.3,114,1.0
163,-3.5,87,1.0
164,-72.4,200,0.9545454545454546
165,-33.3,148,1.0
166,-71.7,200,0.9090909090909091
167,-6.1,95,1.0
168,9.3,60,1.0
169,-81.1,200,0.9090909090909091
170,-73.5,200,0.9090909090909091
171,-38.3,156,1.0
172,-77.1,200,0.9090909090909091
173,8.7,64,1.0
174,-19.5,119,1.0
175,-34.5,152,1.0
176,-44.5,169,1.0
177,-74.9,200,0.9090909090909091
178,-73.4,200,0.9545454545454546
179,-56.7,193,1.0
180,-74.4,200,0.9545454545454546
181,-34.1,147,1.0
182,7.3,63,1.0
183,-69.9,200,0.9090909090909091
184,-27.7,140,1.0
185,-46.3,173,1.0
186,-71.8,200,0.9545454545454546
187,-73.2,200,0.9545454545454546
188,-77.5,200,0.9090909090909091
189,-70.3,200,0.9090909090909091
190,-16.1,112,1.0
191,-77.0,200,0.7727272727272727
192,-81.0,200,0.8636363636363636
193,-73.4,200,0.9545454545454546
194,-17.3,114,1.0
195,-6.1,100,1.0
196,-35.7,158,1.0
197,-34.7,153,1.0
198,6.3,73,1.0
199,-36.3,164,1.0
200,-30.3,153,1.0
201,-76.6,200,0.9545454545454546
202,-20.7,121,1.0
203,-76.2,200,0.9545454545454546
204,-34.3,153,1.0
205,-22.9,128,1.0
206,10.1,60,1.0
207,-33.3,156,1.0
208,-17.7,120,1.0
209,-4.9,91,1.0
210,-72.2,200,0.9545454545454546
211,-2.3,86,1.0
212,-11.9,111,1.0
213,-72.3,200,0.9090909090909091
214,-8.7,94,1.0
215,-75.2,200,0.9545454545454546
216,-73.6,200,0.9545454545454546
217,-33.5,154,1.0
218,-77.5,200,0.9090909090909091
219,-70.5,200,0.9090909090909091
220,2.7,76,1.0
221,-14.7,107,1.0
222,-77.4,200,0.9545454545454546
223,-39.3,156,1.0
224,-55.1,199,1.0
225,-37.1,163,1.0
226,-80.4,200,0.7727272727272727
227,-13.9,105,1.0
228,-45.9,181,1.0
229,-125.0,200,0.045454545454545456
230,-20.5,123,1.0
231,-87.9,200,0.7272727272727273
232,6.9,66,1.0
233,-17.3,115,1.0
234,-34.1,154,1.0
235,-34.5,154,1.0
236,-15.7,113,1.0
237,-33.7,149,1.0
238,-72.0,200,0.9545454545454546
239,2.7,75,1.0
240,-73.4,200,0.9545454545454546
241,-2.9,88,1.0
242,-37.7,169,1.0
243,-71.8,200,0.9545454545454546
244,-55.9,187,1.0
245,-71.5,200,0.9090909090909091
246,-14.7,113,1.0
247,-10.9,104,1.0
248,10.5,59,1.0
249,-14.1,114,1.0
250,-72.8,200,0.9545454545454546
251,-73.8,200,0.9545454545454546
252,-8.7,100,1.0
253,-71.6,200,0.9545454545454546
254,-72.8,200,0.9545454545454546
255,1.9,76,1.0
256,-69.6,200,0.9545454545454546
257,-10.7,103,1.0
258,-18.5,113,1.0
259,-71.0,200,0.8636363636363636
260,17.7,43,1.0
261,-39.9,165,1.0
262,-71.8,200,0.9545454545454546
263,-31.7,145,1.0
264,0.3,83,1.0
265,-73.4,200,0.9545454545454546
266,-3.1,90,1.0
267,-83.1,200,0.9090909090909091
268,-60.3,200,1.0
269,4.7,72,1.0
270,-36.9,152,1.0
271,-71.8,200,0.9545454545454546
272,-79.0,200,0.8636363636363636
273,-78.4,200,0.8636363636363636
274,3.3,71,1.0
275,-44.3,173,1.0
276,1.3,73,1.0
277,-16.1,118,1.0
278,-34.9,154,1.0
279,-16.7,117,1.0
280,-28.7,139,1.0
281,-53.5,185,1.0
282,-77.3,200,0.9090909090909091
283,-56.9,194,1.0
284,-74.8,200,0.9545454545454546
285,-1.1,81,1.0
286,-18.9,121,1.0
287,-73.8,200,0.9545454545454546
288,-3.9,90,1.0
289,-20.3,118,1.0
290,12.5,55,1.0
291,-72.6,200,0.9545454545454546
292,-19.5,115,1.0
293,-70.6,200,0.9545454545454546
294,-16.5,115,1.0
295,-0.5,82,1.0
296,-12.7,104,1.0
297,-72.2,200,0.9545454545454546
298,-24.3,132,1.0
299,-29.7,144,1.0
300,-53.1,197,1.0
301,-32.5,148,1.0
302,-24.7,131,1.0
303,-49.1,176,1.0
304,-13.1,103,1.0
305,-71.2,200,0.9545454545454546
306,-71.4,200,0.9545454545454546
307,12.7,52,1.0
308,-45.7,183,1.0
309,-24.9,134,1.0
310,-18.3,121,1.0
311,-27.9,135,1.0
312,7.7,64,1.0
313,-23.5,130,1.0
314,5.3,71,1.0
315,-16.5,112,1.0
316,-74.0,200,0.9545454545454546
317,16.1,47,1.0
318,-21.7,126,1.0
319,-74.0,200,0.9545454545454546
320,11.7,59,1.0
321,6.5,65,1.0
322,-33.7,157,1.0
323,-75.7,200,0.9090909090909091
324,-71.4,200,0.9545454545454546
325,-35.3,155,1.0
326,-44.5,165,1.0
327,-11.5,103,1.0
328,-37.5,162,1.0
329,-7.9,96,1.0
330,1.9,79,1.0
331,-8.1,99,1.0
332,-71.6,200,0.9545454545454546
333,-46.9,175,1.0
334,16.9,44,1.0
335,-14.9,112,1.0
336,-48.3,187,1.0
337,-0.3,81,1.0
338,17.1,46,1.0
339,3.9,70,1.0
340,11.7,58,1.0
341,-70.4,200,0.9545454545454546
342,10.1,59,1.0
343,-3.3,83,1.0
344,-76.8,200,0.9545454545454546
345,4.7,70,1.0
346,-71.8,200,0.9545454545454546
347,3.7,72,1.0
348,-18.7,118,1.0
349,-6.3,97,1.0
350,-69.0,200,0.9545454545454546
351,4.7,72,1.0
352,-71.4,200,0.9545454545454546
353,-24.7,132,1.0
354,-2.1,87,1.0
355,-69.2,200,0.9545454545454546
356,5.7,65,1.0
357,-4.1,90,1.0
358,-0.7,80,1.0
359,-75.6,200,0.9545454545454546
360,-12.9,107,1.0
361,-71.8,200,0.9545454545454546
362,-9.3,98,1.0
363,12.7,53,1.0
364,-18.3,117,1.0
365,-24.3,139,1.0
366,-4.9,90,1.0
367,-74.0,200,0.9545454545454546
368,-34.3,141,1.0
369,8.7,60,1.0
370,-19.7,120,1.0
371,-5.9,92,1.0
372,3.1,74,1.0
373,5.7,71,1.0
374,9.3,65,1.0
375,-4.3,94,1.0
376,-71.6,200,0.9545454545454546
377,0.1,85,1.0
378,3.7,73,1.0
379,-13.5,111,1.0
380,-1.5,86,1.0
381,-3.5,85,1.0
382,-31.1,149,1.0
383,-18.1,118,1.0
384,-22.1,125,1.0
385,14.7,48,1.0
386,3.1,76,1.0
387,-19.9,119,1.0
388,-69.8,200,0.9545454545454546
389,14.7,52,1.0
390,0.1,80,1.0
391,-17.9,113,1.0
392,12.5,54,1.0
393,3.3,76,1.0
394,7.9,66,1.0
395,-75.4,200,0.9545454545454546
396,-17.7,112,1.0
397,14.7,52,1.0
398,14.3,51,1.0
399,-0.5,80,1.0
400,-5.7,94,1.0
401,20.3,39,1.0
402,-80.2,200,0.9545454545454546
403,-22.1,123,1.0
404,-45.3,163,1.0
405,-74.8,200,0.9545454545454546
406,19.5,41,1.0
407,-78.0,200,0.9545454545454546
408,-22.9,125,1.0
409,-16.9,114,1.0
410,-57.9,181,1.0
411,4.1,71,1.0
412,9.5,61,1.0
413,-20.7,112,1.0
414,-28.5,141,1.0
415,-78.0,200,0.9545454545454546
416,-40.9,159,1.0
417,6.5,67,1.0
418,-76.6,200,0.9545454545454546
419,-62.5,199,1.0
420,-13.7,110,1.0
421,-2.1,82,1.0
422,-0.7,83,1.0
423,2.3,76,1.0
424,0.9,78,1.0
425,-6.1,91,1.0
426,-19.7,119,1.0
427,-11.9,105,1.0
428,-23.5,129,1.0
429,-20.5,125,1.0
430,-7.3,90,1.0
431,-6.7,94,1.0
432,-21.7,126,1.0
433,-56.1,195,1.0
434,20.5,39,1.0
435,1.9,78,1.0
436,2.5,73,1.0
437,14.7,50,1.0
438,-32.3,155,1.0
439,-41.7,160,1.0
440,-19.7,122,1.0
441,10.1,57,1.0
442,-77.8,200,0.9545454545454546
443,-23.7,126,1.0
444,22.3,37,1.0
445,-13.5,112,1.0
446,1.3,76,1.0
447,3.1,71,1.0
448,10.3,60,1.0
449,-5.3,88,1.0
450,-80.1,200,0.9090909090909091
451,-26.9,136,1.0
452,-85.2,200,0.9545454545454546
453,-45.7,177,1.0
454,-12.7,101,1.0
455,11.3,58,1.0
456,-19.9,118,1.0
457,0.1,81,1.0
458,-0.7,82,1.0
459,7.3,68,1.0
460,-125.0,200,0.045454545454545456
461,4.5,71,1.0
462,17.5,43,1.0
463,-26.7,137,1.0
464,-27.3,139,1.0
465,-37.7,154,1.0
466,-21.5,130,1.0
467,-81.2,200,0.8636363636363636
468,-28.1,133,1.0
469,-29.7,143,1.0
470,-13.1,107,1.0
471,4.1,72,1.0
472,7.7,63,1.0
473,10.3,62,1.0
474,8.1,67,1.0
475,9.5,62,1.0
476,-8.5,95,1.0
477,4.5,73,1.0
478,5.7,66,1.0
479,-4.9,87,1.0
480,-34.3,150,1.0
481,0.3,80,1.0
482,1.7,78,1.0
483,7.5,62,1.0
484,-4.7,93,1.0
485,-25.7,137,1.0
486,-11.7,99,1.0
487,9.5,60,1.0
488,-12.3,106,1.0
489,-30.5,145,1.0
490,-76.0,200,0.9545454545454546
491,2.7,73,1.0
492,-29.9,147,1.0
493,-41.3,169,1.0
494,-33.3,144,1.0
495,-70.4,200,0.9545454545454546
496,-74.6,200,0.9545454545454546
497,3.7,77,1.0
498,-50.5,167,1.0
499,6.7,70,1.0
500,-49.3,181,1.0
501,-6.9,95,1.0
502,7.5,69,1.0
503,-3.9,89,1.0
504,19.1,43,1.0
505,-8.9,98,1.0
506,-71.2,200,0.9545454545454546
507,13.9,52,1.0
508,5.7,68,1.0
509,8.3,64,1.0
510,-1.5,83,1.0
511,-20.9,125,1.0
512,-39.1,158,1.0
513,1.7,78,1.0
514,-77.8,200,0.8636363636363636
515,-6.9,97,1.0
516,-17.7,117,1.0
517,-27.5,144,1.0
518,-2.5,87,1.0
519,17.3,44,1.0
520,-13.5,108,1.0
521,-40.5,172,1.0
522,5.9,69,1.0
523,-41.7,162,1.0
524,4.1,69,1.0
525,17.5,42,1.0
526,-26.1,128,1.0
527,-29.9,138,1.0
528,12.3,55,1.0
529,3.7,77,1.0
530,7.3,64,1.0
531,3.1,75,1.0
532,-0.7,80,1.0
533,-7.7,96,1.0
534,-68.6,200,0.9545454545454546
535,-25.3,128,1.0
536,-2.7,90,1.0
537,-28.3,147,1.0
538,-12.9,106,1.0
539,-71.0,200,0.9545454545454546
540,-41.9,169,1.0
541,-36.1,151,1.0
542,23.7,32,1.0
543,-1.9,82,1.0
544,1.3,75,1.0
545,-24.7,133,1.0
546,-37.9,142,1.0
547,22.7,33,1.0
548,1.9,77,1.0
549,1.9,79,1.0
550,10.1,61,1.0
551,-7.5,90,1.0
552,-42.7,168,1.0
553,19.3,40,1.0
554,-48.3,163,1.0
555,-6.7,99,1.0
556,6.1,68,1.0
557,-19.1,117,1.0
558,9.5,59,1.0
559,0.3,81,1.0
560,-27.1,129,1.0
561,-7.5,95,1.0
562,0.9,76,1.0
563,-4.9,92,1.0
564,1.1,78,1.0
565,-11.3,104,1.0
566,-1.9,85,1.0
567,-23.3,126,1.0
568,16.1,45,1.0
569,2.9,76,1.0
570,4.9,67,1.0
571,-70.7,200,0.9090909090909091
572,1.9,79,1.0
573,-74.5,200,0.9090909090909091
574,11.7,57,1.0
575,-10.3,106,1.0
576,-85.4,200,0.9545454545454546
577,-36.9,145,1.0
578,-88.4,200,0.9545454545454546
579,-0.7,80,1.0
580,11.3,58,1.0
581,6.1,68,1.0
582,10.7,62,1.0
583,-74.8,200,0.9545454545454546
584,-73.8,200,0.9545454545454546
585,-2.5,82,1.0
586,-47.5,178,1.0
587,4.9,70,1.0
588,-14.5,114,1.0
589,-24.5,134,1.0
590,12.7,53,1.0
591,-16.3,113,1.0
592,-31.9,147,1.0
593,-33.5,147,1.0
594,-70.2,200,0.9545454545454546
595,-7.3,93,1.0
596,7.1,61,1.0
597,5.5,72,1.0
598,3.9,70,1.0
599,-19.5,120,1.0
600,11.9,56,1.0
601,10.9,61,1.0
602,-7.1,98,1.0
603,17.7,44,1.0
604,-77.6,200,0.9545454545454546
605,-3.1,91,1.0
606,-0.1,79,1.0
607,-11.7,99,1.0
608,4.5,73,1.0
609,-42.7,168,1.0
610,12.3,53,1.0
611,6.7,65,1.0
612,-47.7,172,1.0
613,-1.3,85,1.0
614,21.3,37,1.0
615,-37.3,160,1.0
616,-5.3,89,1.0
617,10.5,58,1.0
618,-12.5,108,1.0
619,-0.7,81,1.0
620,-4.1,91,1.0
621,-9.9,99,1.0
622,-15.3,113,1.0
623,-73.2,200,0.9545454545454546
624,15.7,47,1.0
625,-17.9,122,1.0
626,4.9,68,1.0
627,-34.9,149,1.0
628,-6.7,94,1.0
629,-15.9,111,1.0
630,-16.5,116,1.0
631,4.3,69,1.0
632,15.5,48,1.0
633,1.1,78,1.0
634,7.7,67,1.0
635,-5.9,91,1.0
636,-75.0,200,0.9545454545454546
637,-30.9,134,1.0
638,20.9,37,1.0
639,-75.6,200,0.9545454545454546
640,-10.1,108,1.0
641,-31.1,142,1.0
642,-10.3,95,1.0
643,12.3,57,1.0
644,-9.5,96,1.0
645,5.1,71,1.0
646,-14.5,105,1.0
647,10.7,58,1.0
648,-11.9,106,1.0
649,6.9,66,1.0
650,-11.9,103,1.0
651,14.9,49,1.0
652,0.3,76,1.0
653,16.5,47,1.0
654,-76.4,200,0.9545454545454546
655,-33.3,141,1.0
656,16.3,47,1.0
657,1.1,80,1.0
658,17.1,45,1.0
659,-1.1,84,1.0
660,-69.8,200,0.9545454545454546
661,-10.5,102,1.0
662,-17.3,122,1.0
663,-71.8,200,0.9545454545454546
664,-42.3,148,1.0
665,-15.9,111,1.0
666,9.3,63,1.0
667,14.9,49,1.0
668,5.7,66,1.0
669,-77.8,200,0.9545454545454546
670,-17.3,116,1.0
671,-5.9,91,1.0
672,-87.5,200,0.9090909090909091
673,12.9,55,1.0
674,14.5,50,1.0
675,-39.1,161,1.0
676,-48.7,177,1.0
677,-80.1,200,0.8181818181818182
678,-72.2,200,0.9545454545454546
679,-10.7,99,1.0
680,7.1,65,1.0
681,-23.5,133,1.0
682,18.1,42,1.0
683,6.7,66,1.0
684,-19.9,117,1.0
685,-56.9,193,1.0
686,-81.0,200,0.9545454545454546
687,-17.9,119,1.0
688,-19.5,121,1.0
689,-39.5,164,1.0
690,-58.7,200,1.0
691,1.9,75,1.0
692,-64.9,198,1.0
693,-45.3,176,1.0
694,9.7,60,1.0
695,4.3,71,1.0
696,-20.1,124,1.0
697,-34.5,158,1.0
698,-29.3,140,1.0
699,-36.5,159,1.0
700,-79.7,200,0.9090909090909091
701,-78.2,200,0.9545454545454546
702,-27.3,138,1.0
703,-73.6,200,0.9545454545454546
704,-74.6,200,0.9545454545454546
705,3.3,74,1.0
706,-56.1,198,1.0
707,-57.1,200,1.0
708,-9.7,101,1.0
709,-7.7,99,1.0
